25,16,60
Resist,208.76000000001858,306.92000000000945,-35.0,21.0,55,55,0
Resist,453.12000000000387,58.99999999999973,2.0,-34.0,55,55,0
Resist,387.08000000000095,225.3599999999981,-27.0,25.0,55,55,0
Resist,138.88000000000474,86.07999999999926,10.0,72.0,55,55,0
Resist,441.79999999999967,233.68000000000777,51.0,23.0,55,55,0
SickWithoutSymptoms,380.11999999999034,412.32000000000045,-30.0,43.0,55,55,111
SickWithSymptoms,430.11999999999813,21.160000000001595,-1.0,-7.0,55,55,10
SickWithoutSymptoms,247.72000000000008,233.3999999999973,62.0,-29.0,55,55,162
SickWithSymptoms,618.3199999999993,355.7999999999946,54.0,-6.0,55,55,23
SickWithSymptoms,100.5600000000016,198.0400000000027,-50.0,-52.0,55,55,125
SickWithoutSymptoms,206.15999999999863,307.1200000000017,-62.0,-41.0,55,55,481
SickWithoutSymptoms,478.8000000000092,164.99999999999875,11.0,19.0,55,55,305
SickWithoutSymptoms,319.4799999999917,371.5999999999952,-29.0,-1.0,55,55,427
SickWithoutSymptoms,267.2400000000012,302.88000000000164,17.0,-48.0,55,55,168
SickWithSymptoms,666.4800000000072,148.08000000000007,47.0,-47.0,55,55,280
SickWithSymptoms,119.56000000000222,294.5599999999986,18.0,-3.0,55,55,264
SickWithoutSymptoms,352.6399999999942,53.67999999999711,-48.0,-21.0,55,55,656
SickWithSymptoms,235.9200000000013,179.3599999999997,-4.0,-35.0,55,55,371
SickWithoutSymptoms,519.7999999999967,129.9999999999975,71.0,-11.0,55,55,386
Healthy,571.9599999999926,301.11999999999824,-37.0,21.0,55,55,0
SickWithoutSymptoms,305.92000000000047,109.40000000000016,-28.0,-25.0,55,55,631
SickWithSymptoms,277.7999999999971,0.7199999999999194,-19.0,-18.0,55,55,507
SickWithSymptoms,265.9200000000005,440.03999999999786,38.0,-9.0,55,55,425
Healthy,470.0400000000015,86.47999999999959,-71.0,-21.0,55,55,0
SickWithSymptoms,254.23999999999958,366.7999999999979,-46.0,30.0,55,55,510
Healthy,118.00000000000077,4.999999999999371,-47.0,-46.0,55,55,0
SickWithSymptoms,420.9999999999965,176.63999999999933,-61.0,16.0,55,55,547
SickWithSymptoms,150.9600000000006,191.35999999999908,-55.0,-34.0,55,55,485
Healthy,612.840000000001,435.91999999999786,-59.0,4.0,55,55,0
Healthy,107.88,123.39999999999978,9.0,43.0,55,55,0
SickWithoutSymptoms,395.8799999999995,31.999999999999712,-15.0,-11.0,55,55,483
Healthy,131.7200000000001,294.0399999999962,-62.0,-37.0,40,27,0
SickWithoutSymptoms,163.04000000000053,293.88000000000034,13.0,-6.0,55,55,672
SickWithoutSymptoms,338.16000000000037,309.0,14.0,-25.0,55,55,566
Healthy,130.6399999999995,375.2399999999976,-32.0,35.0,55,55,0
Healthy,128.63999999999967,150.88000000000093,27.0,-63.0,20,55,0
SickWithoutSymptoms,249.55999999999858,392.4000000000009,-42.0,-5.0,55,55,557
SickWithoutSymptoms,219.44000000000062,453.5599999999994,28.0,-3.0,55,55,618
SickWithSymptoms,364.51999999999657,412.3200000000028,-18.0,-10.0,55,55,431
Healthy,606.6000000000005,212.79999999999947,7.0,18.0,55,55,0
Healthy,658.680000000001,350.7999999999987,-19.0,35.0,48,55,0
SickWithSymptoms,512.4800000000012,211.6800000000005,40.0,52.0,55,55,488
Healthy,234.32000000000042,433.68000000000023,70.0,-14.0,32,4,0
Healthy,594.76,292.71999999999946,-43.0,36.0,55,55,0
Healthy,584.5599999999989,80.4400000000001,7.0,23.0,55,55,0
SickWithoutSymptoms,232.7599999999992,63.71999999999993,-34.0,27.0,55,55,536
Healthy,708.2400000000006,68.56000000000004,65.0,31.0,55,55,0
Healthy,73.60000000000008,14.600000000000065,46.0,-49.0,55,55,0
Healthy,341.9199999999993,59.919999999999995,47.0,22.0,55,41,0
Healthy,692.1600000000008,1.1200000000000003,18.0,1.0,55,55,0
Healthy,122.88000000000014,463.8400000000006,26.0,-7.0,55,55,0
Healthy,10.879999999999997,257.60000000000036,17.0,-10.0,55,55,0
Healthy,4.48,90.72000000000003,28.0,42.0,55,55,0
