35,25,120
Resist,644.3600000000058,222.47999999999035,43.0,17.0,75,75,0
Resist,842.1199999999998,131.08000000000817,45.0,1.0,75,75,0
Healthy,508.8400000000071,259.03999999999036,-49.0,5.0,75,75,0
Healthy,303.96000000001084,357.2800000000018,-10.0,16.0,75,75,0
Healthy,394.35999999999524,376.439999999997,16.0,-27.0,75,75,0
Healthy,250.31999999999772,447.4000000000049,-26.0,14.0,75,75,0
Healthy,677.7599999999985,391.6799999999948,54.0,10.0,72,75,0
Healthy,548.3600000000104,344.04000000000354,-10.0,-13.0,75,75,0
Healthy,359.6000000000083,380.1600000000105,-12.0,-8.0,75,75,0
Healthy,545.119999999993,453.6799999999981,7.0,-10.0,75,75,0
Healthy,606.9599999999969,176.80000000000055,12.0,12.0,75,75,0
Resist,413.51999999999265,284.1200000000042,-57.0,-5.0,75,75,0
Healthy,252.35999999999774,252.4399999999984,51.0,-9.0,75,75,0
Resist,341.5200000000066,98.56000000000235,29.0,32.0,75,75,0
Healthy,334.1599999999941,409.5200000000043,57.0,-10.0,75,63,0
Healthy,427.91999999999535,369.91999999999115,-55.0,3.0,75,75,0
Healthy,374.0399999999937,161.4000000000018,-51.0,7.0,75,75,0
Healthy,530.2800000000003,114.83999999999907,44.0,-42.0,75,75,0
Healthy,318.8400000000004,40.56000000000014,58.0,-5.0,75,75,0
Healthy,588.5600000000076,111.39999999999958,25.0,-1.0,75,75,0
SickWithoutSymptoms,474.60000000000304,440.3199999999976,57.0,24.0,75,75,31
Healthy,524.1200000000018,207.03999999999854,-48.0,36.0,75,75,0
Resist,253.16000000000594,168.76000000000312,56.0,19.0,75,75,0
Healthy,668.1999999999973,545.0400000000053,19.0,-43.0,75,75,0
Resist,67.67999999999941,446.28000000000424,13.0,41.0,75,75,0
Healthy,126.60000000000535,403.200000000002,12.0,49.0,75,75,0
Healthy,-0.12000000000016853,505.15999999999747,20.0,-22.0,75,75,0
Healthy,604.4800000000047,119.47999999999827,-22.0,-45.0,75,75,0
Healthy,50.439999999997355,256.680000000002,17.0,39.0,75,61,0
Healthy,590.7599999999927,390.32000000000437,-30.0,-46.0,75,75,0
SickWithoutSymptoms,199.92000000000073,134.91999999999808,42.0,-2.0,75,75,432
Healthy,436.36000000000087,177.92000000000132,-1.0,27.0,75,75,0
Healthy,680.9200000000043,229.88000000000278,-61.0,11.0,8,75,0
Healthy,856.6400000000061,566.5600000000017,-36.0,-33.0,75,75,0
Healthy,687.0399999999959,248.68000000000035,4.0,-47.0,71,75,0
Healthy,65.40000000000083,344.2800000000058,39.0,42.0,68,75,0
Healthy,428.79999999999944,157.6799999999996,-32.0,10.0,75,75,0
Healthy,304.96000000000646,34.96000000000063,-32.0,-38.0,75,75,0
Healthy,717.2799999999988,114.11999999999946,-58.0,-4.0,75,75,0
Healthy,228.8400000000035,136.32000000000042,-30.0,-4.0,75,67,0
Healthy,414.9999999999916,89.68000000000207,-46.0,-7.0,75,75,0
Healthy,605.0400000000155,458.1600000000054,-35.0,22.0,75,75,0
Healthy,669.9600000000032,92.28000000000006,41.0,-8.0,75,75,0
Healthy,236.20000000000016,236.16000000000008,18.0,58.0,75,75,0
Healthy,412.84000000000316,532.3200000000091,-13.0,-32.0,75,75,0
Healthy,26.880000000000408,612.5600000000005,8.0,-34.0,75,75,0
SickWithSymptoms,707.2799999999958,212.3599999999992,-21.0,11.0,75,75,389
Healthy,207.6799999999983,450.60000000000184,-18.0,-10.0,75,75,0
SickWithoutSymptoms,330.07999999999925,420.95999999999873,-59.0,-1.0,75,75,437
Healthy,126.31999999999968,498.9200000000018,61.0,11.0,75,75,0
Healthy,821.8000000000069,490.3199999999997,37.0,3.0,75,75,0
Healthy,333.2399999999985,145.47999999999973,28.0,-10.0,75,75,0
Healthy,468.6800000000012,421.15999999999843,29.0,-18.0,75,24,0
SickWithoutSymptoms,797.4000000000041,320.68,17.0,-23.0,75,75,416
SickWithoutSymptoms,84.96000000000087,271.2399999999992,-11.0,58.0,75,75,365
Healthy,498.83999999999753,528.2799999999953,-36.0,-11.0,75,75,0
SickWithoutSymptoms,659.2399999999943,314.32000000000085,-52.0,1.0,75,75,375
Healthy,831.5599999999945,486.8399999999977,23.0,19.0,75,75,0
Healthy,240.03999999999988,225.60000000000014,36.0,-8.0,75,75,0
SickWithSymptoms,22.799999999999912,167.15999999999914,8.0,40.0,75,75,524
Healthy,660.6799999999996,170.5599999999998,37.0,49.0,75,75,0
Healthy,822.6000000000039,459.7200000000031,16.0,-33.0,75,75,0
Healthy,559.1200000000006,613.8400000000028,-31.0,5.0,75,75,0
SickWithoutSymptoms,204.96000000000038,71.08000000000038,38.0,-18.0,75,75,543
Healthy,72.32000000000014,185.20000000000059,14.0,-35.0,75,75,0
Healthy,48.95999999999998,179.36000000000035,24.0,34.0,26,75,0
SickWithSymptoms,671.400000000001,344.8000000000006,-44.0,37.0,75,75,658
Healthy,789.0000000000041,506.64000000000067,59.0,-0.0,75,75,0
Healthy,648.599999999999,514.5200000000041,-43.0,-12.0,75,75,0
SickWithSymptoms,30.039999999999967,357.60000000000014,46.0,-38.0,75,75,601
Healthy,846.7999999999997,555.8399999999989,23.0,13.0,75,75,0
Healthy,29.15999999999982,498.8400000000021,-54.0,-28.0,75,75,0
SickWithoutSymptoms,35.120000000000026,412.15999999999934,-20.0,20.0,75,75,643
Healthy,801.9600000000005,178.04000000000002,-25.0,49.0,75,75,0
SickWithSymptoms,855.7999999999979,391.9599999999996,-5.0,-6.0,75,75,454
Healthy,501.71999999999946,561.9600000000019,2.0,-39.0,75,75,0
Healthy,53.679999999999986,407.7999999999995,61.0,10.0,75,53,0
Healthy,782.9200000000001,599.6399999999994,53.0,-24.0,75,75,0
Healthy,851.0000000000002,217.80000000000007,-35.0,-33.0,75,75,0
Healthy,409.28,0.8,33.0,5.0,75,75,0
